"departmentId","department","summary","status","book","rank","insertTime","modifyTime","ad"
"1","Sponsorships, Advertising & Marketing","(null)","active","SBD","15","(null)","8/19/2002 9:42:58 AM","(null)"
"2","Sports Media","(null)","active","SBD","16","(null)","(null)","(null)"
"3","Leagues & Governing Bodies","(null)","active","SBD","17","(null)","(null)","(null)"
"4","Franchises","(null)","active","SBD","18","(null)","(null)","(null)"
"5","Finance","(null)","active","SBD","19","(null)","(null)","(null)"
"6","Facilities & Venues","(null)","active","SBD","20","(null)","(null)","(null)"
"7","Events & Attractions","(null)","active","SBD","21","(null)","(null)","(null)"
"8","Olympics","","active","SBD","22","(null)","2/26/2002 12:42:51 PM","(null)"
"9","Collegiate Sports","","active","SBD","23","(null)","(null)","(null)"
"10","Sports & Society","","active","SBD","24","(null)","(null)","(null)"
"11","Law & Politics","","active","SBD","25","(null)","(null)","(null)"
"12","Sports Industrialists","(null)","active","SBD","28","(null)","(null)","(null)"
"13","The Back of the Book","(null)","active","SBD","29","(null)","(null)","(null)"
"14","Classified Advertisements","(null)","active","SBD","30","(null)","3/19/2001 6:52:54 AM","(null)"
"22","News & Opinions","","inactive","TDI","0","2/11/2001 12:58:41 PM","11/15/2001 3:24:41 PM","(null)"
"23","The Daily Quoteboard","","inactive","TDI","0","2/11/2001 1:13:42 PM","11/15/2001 3:32:31 PM","(null)"
"24","Ratings & Research","","active","TDI","0","2/11/2001 1:14:29 PM","(null)","(null)"
"25","Articles of Interest","","active","TDI","0","2/11/2001 1:14:48 PM","(null)","(null)"
"26","TV Monitor","","inactive","TDI","0","2/11/2001 1:15:04 PM","10/21/2002 4:07:54 PM","(null)"
"27","Sports Business Wire","","active","TDI","0","2/11/2001 1:15:39 PM","1/30/2002 4:40:45 PM","(null)"
"28","Morning Buzz","","active","TDI","0","2/11/2001 1:16:01 PM","(null)","(null)"
"29","Closing Bell","","active","TDI","0","2/11/2001 1:16:17 PM","4/21/2001 11:42:20 PM","(null)"
"33","The Video Vault","","inactive","TDI","0","2/4/2002 1:30:31 PM","(null)","(null)"
"41","This Week's SBJ","","active","SBD","12","(null)","(null)","(null)"
"42"," Special Report: <br>SBD's 10th Anniversary"," Special Report: <br>SBD's 10th Anniversary","active","SBD","14","(null)","(null)","(null)"
"43","SBD/SBJ  Reader Survey","(null)","active","SBD","1","11/15/2005 3:12:10 PM","11/15/2005 3:12:10 PM","(null)"
"44","""MNF"" On ABC: 1970-2005","","active","SBD","12","(null)","(null)","(null)"
"45","2005: Year In Review","","active","SBD","13","(null)","(null)","(null)"
"46","MLB Season Preview","(null)","active","SBD","2","(null)","(null)","(null)"
"47","WNBA At 10: Season Preview","","active","SBD","3","(null)","(null)","(null)"
"48","NFL Season Preview","","active","SBD","4","(null)","(null)","(null)"
"49","NHL Season Preview","","active","SBD","5","(null)","(null)","(null)"
"50","NBA Season Preview","","active","SBD","6","(null)","(null)","(null)"
"51","2006: Year In Review","","active","SBD","26","(null)","(null)","(null)"
"52","PGA Tour Season Preview","","active","SBD","7","(null)","(null)","(null)"
"53","NASCAR Season Preview","","active","SBD","8","(null)","(null)","(null)"
"54","MLS Season Preview","","active","SBD","9","(null)","(null)","(null)"
"55","WNBA Season Preview","","active","SBD","10","(null)","(null)","(null)"
"56","College Football Preview","(null)","active","sbd","11","(null)","(null)","(null)"
"57","Morning Buzz Special Edition: The Mitchell Report","","active","TDI","0","(null)","(null)","(null)"
"58","2007: Year In Review","","active","SBD","27","(null)","(null)","(null)"
"59","SportsBusiness Daily Exclusives","","active","TDI","99","(null)","(null)","(null)"
"60","Front Page","(null)","inactive","SBD","999","(null)","(null)","(null)"
